t,coop_rate,avg_payoff,payoff_gini,strategy_mean,strategy_std,persuasion_rate,avg_shift,n_targeted,topo,seed,label
38,0.3,9.233333333333333,0.4927797833935018,0.27345684418735294,0.12524945728010223,0,0,0,scale_free,42,No influence (baseline)
39,0.36666666666666664,12.133333333333333,0.35128205128205126,0.2846420228848706,0.1264962304946916,0,0,0,scale_free,42,No influence (baseline)
40,0.3,9.2,0.4816425120772947,0.2864849801386861,0.13637596140532954,0,0,0,scale_free,42,No influence (baseline)
41,0.2,9.933333333333334,0.3713646532438479,0.2761067825220438,0.12692707099447942,0,0,0,scale_free,42,No influence (baseline)
42,0.3,9.833333333333334,0.4209039548022599,0.2789739686193985,0.13443306199606916,0,0,0,scale_free,42,No influence (baseline)
43,0.3333333333333333,9.833333333333334,0.4401129943502825,0.28549709238507065,0.13643515858701613,0,0,0,scale_free,42,No influence (baseline)
44,0.26666666666666666,9.5,0.42608187134502923,0.2832374412988622,0.14035108434524887,0,0,0,scale_free,42,No influence (baseline)
45,0.3333333333333333,10.1,0.38074807480748074,0.2892489483429987,0.1416127726067526,0,0,0,scale_free,42,No influence (baseline)
46,0.36666666666666664,10.033333333333333,0.5374307862679956,0.29853907454183887,0.13645727478861236,0,0,0,scale_free,42,No influence (baseline)
47,0.23333333333333334,9.066666666666666,0.4232843137254902,0.29071438559681817,0.13694965603319656,0,0,0,scale_free,42,No influence (baseline)
48,0.3333333333333333,10.4,0.4329059829059829,0.2958286593252,0.13901806616245693,0,0,0,scale_free,42,No influence (baseline)
49,0.13333333333333333,7.733333333333333,0.40545977011494255,0.27632922020617606,0.1335917463697982,0,0,0,scale_free,42,No influence (baseline)
